Direction,Protocol,Entity,Configuration,Model,Feature count,Accuracy,Balanced accuracy,Macro precision,Macro recall,Macro F1,Log loss,Inference ms per 1000 windows
PAMAP2-6g -> MHEALTH,All features - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,96,0.32340425531914896,0.2719858156028369,0.19890260631001375,0.2719858156028369,0.18309730402074056,16.311561250746646,1.043300006131176
PAMAP2-6g -> MHEALTH,All features - raw,Chest acceleration,Chest acceleration,Logistic regression,48,0.14772036474164132,0.16950354609929077,0.19998582163618317,0.16950354609929077,0.06111466254535494,19.2550514437732,0.8574000021326356
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,144,0.14103343465045592,0.16382978723404254,0.16611087359270346,0.16382978723404254,0.055997383065141466,20.438943597201604,1.4569999984814785
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration,Ankle acceleration,Logistic regression,48,0.02796352583586626,0.02624113475177305,0.21213450292397662,0.02624113475177305,0.021341596495209125,11.343805525890396,0.8595000035711564
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,96,0.014285714285714285,0.016666666666666666,0.0047532362459546925,0.016666666666666666,0.0073969153289266615,19.764708079730152,1.0106000045198016
PAMAP2-6g -> MHEALTH,Magnitude - CORAL,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,24,0.6559270516717325,0.625,0.6166919682266617,0.625,0.6107501811371608,0.8525269324055621,0.5744000009144656
PAMAP2-6g -> MHEALTH,Magnitude - CORAL,Ankle acceleration,Ankle acceleration,Logistic regression,12,0.6051671732522796,0.5973404255319149,0.6163816915343187,0.5973404255319149,0.5085478901044521,0.798698639009947,0.5428000004030764
PAMAP2-6g -> MHEALTH,Magnitude - CORAL,Chest acceleration,Chest acceleration,Logistic regression,12,0.48723404255319147,0.43191489361702123,0.5015625311388828,0.43191489361702123,0.44346421415063714,1.307948312535969,0.5222999971010722
PAMAP2-6g -> MHEALTH,Magnitude - CORAL,Full common configuration,Full common configuration,Logistic regression,36,0.5051671732522797,0.45035460992907805,0.4433887354171284,0.45035460992907805,0.42598626691917724,1.4925751716328537,0.6169000043882988
PAMAP2-6g -> MHEALTH,Magnitude - CORAL,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,24,0.5027355623100304,0.46312056737588647,0.4578021824164107,0.46312056737588647,0.4254625638164313,1.4878454781562116,0.5707999953301623
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,24,0.6629179331306991,0.6175531914893616,0.5965587177671065,0.6175531914893616,0.5951524776144715,0.7726210575687479,0.5769999988842756
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration,Ankle acceleration,Logistic regression,12,0.6170212765957447,0.6090425531914895,0.5871914324085589,0.6090425531914895,0.5284394411378058,0.7695749741055449,0.5296999952406622
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Chest acceleration,Chest acceleration,Logistic regression,12,0.5054711246200608,0.4315602836879433,0.4756678026683319,0.4315602836879433,0.4303856820101856,1.0199986831733645,0.5118999979458749
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,24,0.37659574468085105,0.34734042553191496,0.42486927099874333,0.34734042553191496,0.3570470167128086,2.7444601459540316,0.5643000040436164
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Full common configuration,Full common configuration,Logistic regression,36,0.4015197568389058,0.33262411347517734,0.44771956664671847,0.33262411347517734,0.3379755915402994,3.5869596229718024,0.6483000033767894
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration,Ankle acceleration,Logistic regression,12,0.672644376899696,0.6432624113475177,0.5718378706338333,0.6432624113475177,0.5683769799769444,0.6391704912188808,0.5252999981166795
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,24,0.5987841945288754,0.5331560283687943,0.5587155367695346,0.5331560283687943,0.473420935812966,1.365942075149651,0.5659000016748905
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest acceleration,Chest acceleration,Logistic regression,12,0.5525835866261398,0.4867021276595745,0.48946004815974525,0.4867021276595745,0.41153917959410613,1.5221704604581705,0.5193999968469143
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Full common configuration,Full common configuration,Logistic regression,36,0.32978723404255317,0.3312056737588653,0.25343115102160724,0.3312056737588653,0.21321177301833194,5.1083681436029496,0.610499999311287
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,24,0.2844984802431611,0.29627659574468085,0.2675802257398446,0.29627659574468085,0.20041797664796338,4.3678045078805825,0.5700999972759746
MHEALTH -> PAMAP2-6g,All features - raw,Chest and ankle acceleration,Chest and ankle acceleration,XGBoost,96,0.6001533742331289,0.5951849219024731,0.6543487249371104,0.5951849219024731,0.5714870604032282,1.5955532105321355,5.170700002054218
MHEALTH -> PAMAP2-6g,All features - raw,Full common configuration,Full common configuration,XGBoost,144,0.5602760736196319,0.5571104422944949,0.5397772858012762,0.5571104422944949,0.5069521098197246,1.6925800208010913,7.157799998822156
MHEALTH -> PAMAP2-6g,All features - raw,Chest acceleration,Chest acceleration,XGBoost,48,0.5572085889570552,0.5411284581301546,0.5282758667517474,0.5411284581301546,0.49533005851264855,2.2192176774523587,3.325699995912146
MHEALTH -> PAMAP2-6g,All features - raw,Ankle acceleration,Ankle acceleration,XGBoost,48,0.53420245398773,0.5350620300589751,0.47267649281220275,0.5350620300589751,0.494237689090918,1.8958430943335967,3.589200001442805
MHEALTH -> PAMAP2-6g,All features - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,XGBoost,96,0.4601226993865031,0.467466336387585,0.41390133300927395,0.467466336387585,0.4357078272054932,2.0270046937548734,4.929499998979736
MHEALTH -> PAMAP2-6g,Magnitude - CORAL,Full common configuration,Full common configuration,XGBoost,36,0.6513803680981595,0.6599937263410196,0.6106583769458048,0.6599937263410196,0.6175752257805506,1.5167942119456566,3.6686999956145883
MHEALTH -> PAMAP2-6g,Magnitude - CORAL,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,XGBoost,24,0.556441717791411,0.5670539293760047,0.5088585760424936,0.5670539293760047,0.5218026683371813,1.7095444077644035,3.694099999847822
MHEALTH -> PAMAP2-6g,Magnitude - CORAL,Chest acceleration,Chest acceleration,XGBoost,12,0.4256134969325153,0.43885865112888583,0.35780434823310614,0.43885865112888583,0.3782724196976634,1.5731789947179589,3.1312000064644963
MHEALTH -> PAMAP2-6g,Magnitude - CORAL,Ankle acceleration,Ankle acceleration,XGBoost,12,0.4460122699386503,0.4810928445143297,0.40268833080856115,0.4810928445143297,0.3780077863826759,2.1398271660444346,3.3133000033558346
MHEALTH -> PAMAP2-6g,Magnitude - CORAL,Chest and ankle acceleration,Chest and ankle acceleration,XGBoost,24,0.37162576687116566,0.40766920093564113,0.4427824578129637,0.40766920093564113,0.2793379354740927,1.940154096824797,3.410299999814015
MHEALTH -> PAMAP2-6g,Magnitude - domain z-score,Chest and ankle acceleration,Chest and ankle acceleration,XGBoost,24,0.5006134969325153,0.5175214104813919,0.4235190080787903,0.5175214104813919,0.4523059961333478,1.4135186242185953,2.959600002213847
MHEALTH -> PAMAP2-6g,Magnitude - domain z-score,Full common configuration,Full common configuration,XGBoost,36,0.507361963190184,0.524101388262895,0.47269471623140075,0.524101388262895,0.44136082639406987,1.5557702510874853,3.262000005634036
MHEALTH -> PAMAP2-6g,Magnitude - domain z-score,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,XGBoost,24,0.4611963190184049,0.494056763579811,0.43206547602441714,0.494056763579811,0.41923699898001415,2.096159959105706,2.977600001031533
MHEALTH -> PAMAP2-6g,Magnitude - domain z-score,Ankle acceleration,Ankle acceleration,XGBoost,12,0.4588957055214724,0.49304720316217415,0.4006155349761928,0.49304720316217415,0.3877387609583254,1.7402356945165607,2.8080999982194044
MHEALTH -> PAMAP2-6g,Magnitude - domain z-score,Chest acceleration,Chest acceleration,XGBoost,12,0.4610429447852761,0.47262654481249133,0.35806353229480753,0.47262654481249133,0.38491274238526874,1.6994750499945779,2.8381000010995194
MHEALTH -> PAMAP2-6g,Magnitude only - raw,Full common configuration,Full common configuration,XGBoost,36,0.6311349693251533,0.6258992136740539,0.6296184414226057,0.6258992136740539,0.5986007182371289,1.2828082215556706,3.442399996856693
MHEALTH -> PAMAP2-6g,Magnitude only - raw,Chest acceleration,Chest acceleration,XGBoost,12,0.5886503067484663,0.5925561972737229,0.5935889142068518,0.5925561972737229,0.5911699362667308,1.365194288124849,2.9503999976441264
MHEALTH -> PAMAP2-6g,Magnitude only - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,XGBoost,24,0.6312883435582822,0.6258991679112462,0.571051691804836,0.6258991679112462,0.5885792341495472,1.5244358430402052,3.453699995588977
MHEALTH -> PAMAP2-6g,Magnitude only - raw,Chest and ankle acceleration,Chest and ankle acceleration,XGBoost,24,0.594478527607362,0.5931647945252384,0.614653626955654,0.5931647945252384,0.5572593054010043,1.2364667650180152,3.4142000004067086
MHEALTH -> PAMAP2-6g,Magnitude only - raw,Ankle acceleration,Ankle acceleration,XGBoost,12,0.6023006134969325,0.5995191346457515,0.7062378182796759,0.5995191346457515,0.531374403800905,1.4254819472958367,3.384299998288043
