Feature,Importance mean,Importance std,Sensor group
ankle_acc_y__median,0.0030465720915668682,0.001063157427845844,Ankle acceleration
chest_acc_z__median,0.0017919215684151669,0.0009395956760178089,Chest acceleration
ankle_acc_y__mean_abs,0.001193237313502804,0.0004171436647527759,Ankle acceleration
chest_acc_y__min,0.00018540533400581704,0.0003708106680116341,Chest acceleration
chest_acc_mag__max,0.0,0.0,Chest acceleration
ankle_gyro_z__spectral_entropy,0.0,0.0,Ankle gyroscope
ankle_gyro_z__std,0.0,0.0,Ankle gyroscope
ankle_gyro_z__zcr,0.0,0.0,Ankle gyroscope
chest_acc_mag__dominant_frequency,0.0,0.0,Chest acceleration
chest_acc_mag__energy,0.0,0.0,Chest acceleration
chest_acc_mag__iqr,0.0,0.0,Chest acceleration
ankle_acc_mag__dominant_frequency,0.0,0.0,Ankle acceleration
ankle_gyro_z__min,0.0,0.0,Ankle gyroscope
chest_acc_mag__mean,0.0,0.0,Chest acceleration
chest_acc_mag__mean_abs,0.0,0.0,Chest acceleration
chest_acc_mag__median,0.0,0.0,Chest acceleration
chest_acc_mag__min,0.0,0.0,Chest acceleration
chest_acc_mag__rms,0.0,0.0,Chest acceleration
chest_acc_mag__spectral_entropy,0.0,0.0,Chest acceleration
ankle_gyro_z__rms,0.0,0.0,Ankle gyroscope
ankle_gyro_z__median,0.0,0.0,Ankle gyroscope
chest_acc_mag__zcr,0.0,0.0,Chest acceleration
ankle_gyro_y__spectral_entropy,0.0,0.0,Ankle gyroscope
ankle_gyro_y__max,0.0,0.0,Ankle gyroscope
ankle_gyro_y__mean,0.0,0.0,Ankle gyroscope
ankle_gyro_y__mean_abs,0.0,0.0,Ankle gyroscope
ankle_gyro_y__median,0.0,0.0,Ankle gyroscope
ankle_gyro_y__min,0.0,0.0,Ankle gyroscope
ankle_gyro_y__rms,0.0,0.0,Ankle gyroscope
ankle_gyro_y__std,0.0,0.0,Ankle gyroscope
ankle_gyro_z__mean_abs,0.0,0.0,Ankle gyroscope
ankle_gyro_y__zcr,0.0,0.0,Ankle gyroscope
ankle_gyro_z__dominant_frequency,0.0,0.0,Ankle gyroscope
ankle_gyro_z__energy,0.0,0.0,Ankle gyroscope
ankle_gyro_z__iqr,0.0,0.0,Ankle gyroscope
ankle_gyro_z__max,0.0,0.0,Ankle gyroscope
ankle_gyro_z__mean,0.0,0.0,Ankle gyroscope
chest_acc_mag__std,0.0,0.0,Chest acceleration
chest_acc_x__iqr,0.0,0.0,Chest acceleration
chest_acc_x__dominant_frequency,0.0,0.0,Chest acceleration
chest_acc_z__iqr,0.0,0.0,Chest acceleration
chest_acc_y__rms,0.0,0.0,Chest acceleration
chest_acc_y__spectral_entropy,0.0,0.0,Chest acceleration
chest_acc_y__std,0.0,0.0,Chest acceleration
chest_acc_y__zcr,0.0,0.0,Chest acceleration
chest_acc_z__dominant_frequency,0.0,0.0,Chest acceleration
chest_acc_z__energy,0.0,0.0,Chest acceleration
chest_acc_z__max,0.0,0.0,Chest acceleration
chest_acc_x__energy,0.0,0.0,Chest acceleration
chest_acc_z__mean,0.0,0.0,Chest acceleration
chest_acc_z__mean_abs,0.0,0.0,Chest acceleration
chest_acc_z__min,0.0,0.0,Chest acceleration
chest_acc_z__rms,0.0,0.0,Chest acceleration
chest_acc_z__spectral_entropy,0.0,0.0,Chest acceleration
chest_acc_z__std,0.0,0.0,Chest acceleration
chest_acc_y__median,0.0,0.0,Chest acceleration
chest_acc_y__mean_abs,0.0,0.0,Chest acceleration
chest_acc_y__mean,0.0,0.0,Chest acceleration
chest_acc_y__max,0.0,0.0,Chest acceleration
chest_acc_y__iqr,0.0,0.0,Chest acceleration
chest_acc_y__energy,0.0,0.0,Chest acceleration
chest_acc_y__dominant_frequency,0.0,0.0,Chest acceleration
chest_acc_x__zcr,0.0,0.0,Chest acceleration
chest_acc_x__std,0.0,0.0,Chest acceleration
chest_acc_x__spectral_entropy,0.0,0.0,Chest acceleration
chest_acc_x__rms,0.0,0.0,Chest acceleration
chest_acc_x__min,0.0,0.0,Chest acceleration
chest_acc_x__median,0.0,0.0,Chest acceleration
chest_acc_x__mean_abs,0.0,0.0,Chest acceleration
chest_acc_x__mean,0.0,0.0,Chest acceleration
chest_acc_x__max,0.0,0.0,Chest acceleration
ankle_gyro_y__energy,0.0,0.0,Ankle gyroscope
ankle_gyro_y__iqr,0.0,0.0,Ankle gyroscope
ankle_gyro_y__dominant_frequency,0.0,0.0,Ankle gyroscope
ankle_acc_mag__energy,0.0,0.0,Ankle acceleration
ankle_acc_y__iqr,0.0,0.0,Ankle acceleration
ankle_acc_x__rms,0.0,0.0,Ankle acceleration
ankle_acc_x__spectral_entropy,0.0,0.0,Ankle acceleration
ankle_acc_x__std,0.0,0.0,Ankle acceleration
ankle_acc_x__zcr,0.0,0.0,Ankle acceleration
ankle_acc_y__dominant_frequency,0.0,0.0,Ankle acceleration
ankle_acc_y__energy,0.0,0.0,Ankle acceleration
ankle_acc_y__max,0.0,0.0,Ankle acceleration
ankle_acc_x__median,0.0,0.0,Ankle acceleration
ankle_acc_y__mean,0.0,0.0,Ankle acceleration
ankle_acc_y__min,0.0,0.0,Ankle acceleration
ankle_acc_y__rms,0.0,0.0,Ankle acceleration
ankle_acc_y__spectral_entropy,0.0,0.0,Ankle acceleration
ankle_acc_y__std,0.0,0.0,Ankle acceleration
ankle_acc_y__zcr,0.0,0.0,Ankle acceleration
ankle_acc_x__min,0.0,0.0,Ankle acceleration
ankle_acc_x__mean_abs,0.0,0.0,Ankle acceleration
ankle_gyro_x__zcr,0.0,0.0,Ankle gyroscope
ankle_acc_mag__rms,0.0,0.0,Ankle acceleration
ankle_acc_mag__iqr,0.0,0.0,Ankle acceleration
ankle_acc_mag__max,0.0,0.0,Ankle acceleration
ankle_acc_mag__mean,0.0,0.0,Ankle acceleration
ankle_acc_mag__mean_abs,0.0,0.0,Ankle acceleration
ankle_acc_mag__median,0.0,0.0,Ankle acceleration
ankle_acc_mag__min,0.0,0.0,Ankle acceleration
ankle_acc_mag__spectral_entropy,0.0,0.0,Ankle acceleration
ankle_acc_x__mean,0.0,0.0,Ankle acceleration
ankle_acc_mag__std,0.0,0.0,Ankle acceleration
ankle_acc_mag__zcr,0.0,0.0,Ankle acceleration
ankle_acc_x__dominant_frequency,0.0,0.0,Ankle acceleration
ankle_acc_x__energy,0.0,0.0,Ankle acceleration
ankle_acc_x__iqr,0.0,0.0,Ankle acceleration
ankle_acc_x__max,0.0,0.0,Ankle acceleration
ankle_acc_z__dominant_frequency,0.0,0.0,Ankle acceleration
ankle_acc_z__energy,0.0,0.0,Ankle acceleration
ankle_acc_z__iqr,0.0,0.0,Ankle acceleration
ankle_gyro_x__max,0.0,0.0,Ankle gyroscope
ankle_gyro_mag__spectral_entropy,0.0,0.0,Ankle gyroscope
ankle_gyro_mag__std,0.0,0.0,Ankle gyroscope
ankle_gyro_mag__zcr,0.0,0.0,Ankle gyroscope
ankle_gyro_x__dominant_frequency,0.0,0.0,Ankle gyroscope
ankle_gyro_x__energy,0.0,0.0,Ankle gyroscope
ankle_gyro_x__iqr,0.0,0.0,Ankle gyroscope
ankle_gyro_x__mean,0.0,0.0,Ankle gyroscope
ankle_acc_z__max,0.0,0.0,Ankle acceleration
ankle_gyro_x__mean_abs,0.0,0.0,Ankle gyroscope
ankle_gyro_x__median,0.0,0.0,Ankle gyroscope
ankle_gyro_x__min,0.0,0.0,Ankle gyroscope
ankle_gyro_x__rms,0.0,0.0,Ankle gyroscope
ankle_gyro_x__spectral_entropy,0.0,0.0,Ankle gyroscope
ankle_gyro_x__std,0.0,0.0,Ankle gyroscope
ankle_gyro_mag__rms,0.0,0.0,Ankle gyroscope
ankle_gyro_mag__min,0.0,0.0,Ankle gyroscope
ankle_gyro_mag__median,0.0,0.0,Ankle gyroscope
ankle_gyro_mag__mean_abs,0.0,0.0,Ankle gyroscope
ankle_gyro_mag__mean,0.0,0.0,Ankle gyroscope
ankle_gyro_mag__max,0.0,0.0,Ankle gyroscope
ankle_gyro_mag__iqr,0.0,0.0,Ankle gyroscope
ankle_gyro_mag__energy,0.0,0.0,Ankle gyroscope
ankle_gyro_mag__dominant_frequency,0.0,0.0,Ankle gyroscope
ankle_acc_z__zcr,0.0,0.0,Ankle acceleration
ankle_acc_z__std,0.0,0.0,Ankle acceleration
ankle_acc_z__spectral_entropy,0.0,0.0,Ankle acceleration
ankle_acc_z__rms,0.0,0.0,Ankle acceleration
ankle_acc_z__min,0.0,0.0,Ankle acceleration
ankle_acc_z__median,0.0,0.0,Ankle acceleration
ankle_acc_z__mean_abs,0.0,0.0,Ankle acceleration
ankle_acc_z__mean,0.0,0.0,Ankle acceleration
chest_acc_z__zcr,0.0,0.0,Chest acceleration
